"Miltal","Modellår","Biltyp","Drivning","Hästkrafter","Färg","Län","Pris..Y.","Märkell"
"1547","2022","suv","2","298","grå","västra götaland","539900","ford_mustang"
"1650","2022","suv","2","301","vit","östergötland","739900","ford_mustang"
"1400","2022","suv","2","301","vit","jönköping","539700","ford_mustang"
"1485","2022","suv","2","298","röd","västra götaland","539900","ford_mustang"
"1553","2022","suv","4","372","vit","kronoberg","763800","ford_mustang"
"2800","2022","suv","2","301","röd","södermanland","774700","ford_mustang"
"2090","2022","halvkombi","2","301","orange","jönköping","469900","ford_mustang"
"5078","2018","halvkombi","2","184","röd","stockholm","218900","bmw_i3s"
"5055","2017","halvkombi","2","170","silver","stockholm","199700","bmw_i3"
"9476","2017","halvkombi","2","170","blå","skåne","188900","bmw_i3"
"8670","2017","halvkombi","2","170","vit","skåne","188900","bmw_i3"
"2109","2022","suv","2","286","svart","kronoberg","639800","bmw_ix3"
"9403","2019","halvkombi","2","184","svart","stockholm","221900","bmw_i3s"
"4427","2019","halvkombi","2","170","vit","stockholm","219900","bmw_i3"
"3077","2020","halvkombi","2","170","vit","stockholm","217900","bmw_i3"
"6544","2019","halvkombi","2","184","svart","stockholm","221900","bmw_i3s"
"2834","2020","halvkombi","2","170","vit","stockholm","219900","bmw_i3"
"6391","2019","halvkombi","2","170","svart","stockholm","203900","bmw_i3"
"5789","2019","halvkombi","2","184","brun","stockholm","219900","bmw_i3s"
"4690","2020","halvkombi","2","184","vit","stockholm","224900","bmw_i3s"
"6946","2018","halvkombi","2","184","röd","stockholm","183900","bmw_i3s"
"5881","2019","halvkombi","2","184","röd","stockholm","235900","bmw_i3s"
"1479","2022","halvkombi","2","170","vit","stockholm","261900","bmw_i3"
"4595","2020","halvkombi","2","184","grå","stockholm","244900","bmw_i3"
"5921","2018","halvkombi","2","184","blå","stockholm","219800","bmw_i3s"
"2018","2022","halvkombi","2","184","blå","stockholm","292900","bmw_i3s"
"2189","2022","halvkombi","2","184","grå","stockholm","272900","bmw_i3"
"5502","2017","halvkombi","2","170","svart","västra götaland","204800","bmw_i3"
"9096","2015","halvkombi","2","170","vit","skåne","149800","bmw_i3"
"3190","2023","halvkombi","2","340","vit","jönköping","599800","bmw_i4"
"2990","2020","halvkombi","2","170","vit","jönköping","224900","bmw_i3"
"1449","2023","suv","4","272","svart","kalmar","589900","bmw_ix1"
"2778","2022","suv","4","327","grå","kalmar","759900","bmw_ix"
"3150","2021","suv","2","286","silver","kalmar","559900","bmw_ix3"
