"X","Miltal","Modellår","Drivning","Hästkrafter","Färg","Län","Biltyp_halvkombi","Biltyp_kombi","Biltyp_sedan","Biltyp_suv","Pris..Y.","Märkell"
279,3609,2021,2,143,"röd","jönköping",0,0,0,1,219400,"mg_zs"
280,1127,2022,2,177,"grå","västra götaland",0,1,0,0,309900,"mg_5"
281,3579,2020,2,143,"svart","jönköping",0,0,0,1,219900,"mg_zs"
282,3920,2021,2,157,"vit","kalmar",0,0,0,1,299800,"mg_zs"
283,4180,2022,2,180,"svart","stockholm",0,0,0,1,329900,"mg_r"
284,3129,2021,2,143,"blå","stockholm",0,0,0,1,209900,"mg_zs"
285,1650,2020,2,143,"svart","jönköping",0,0,1,0,219900,"mg_zs"
286,1329,2022,4,289,"svart","södermanland",0,0,0,1,359800,"mg_r"
287,1100,2021,2,157,"svart","östergötland",0,1,0,0,269900,"mg_5"
288,730,2022,2,180,"vit","jönköping",0,0,0,1,389900,"mg_marvel"
289,2190,2021,2,143,"vit","blekinge",0,0,0,1,219800,"mg_zs"
290,1766,2022,4,289,"vit","kronoberg",0,0,0,1,389900,"mg_r"
291,2896,2022,2,157,"vit","kalmar",0,1,0,0,334800,"mg_5"
292,500,2022,2,157,"svart","södermanland",0,0,0,1,319900,"mg_zs"
293,2716,2022,2,157,"svart","kronoberg",0,0,0,1,294800,"mg_zs"
294,2148,2021,2,143,"röd","kronoberg",0,0,0,1,214800,"mg_zs"
295,3694,2022,2,157,"grå","kronoberg",0,0,0,1,294800,"mg_zs"
296,1000,2022,2,177,"vit","jönköping",0,0,1,0,309900,"mg_5"
297,1600,2022,4,289,"vit","jönköping",0,0,0,1,457900,"mg_r"
298,1295,2022,2,157,"vit","dalarna",0,0,0,1,289900,"mg_zs"
299,1940,2022,2,180,"grå","västmanland",0,0,0,1,369900,"mg_r"
300,2650,2022,2,177,"röd","västra götaland",0,1,0,0,311750,"mg_5"
301,500,2022,2,157,"röd","kalmar",0,1,0,0,329900,"mg_5"
302,2336,2022,2,177,"svart","jönköping",0,1,0,0,279800,"mg_5"
303,700,2023,4,436,"grön","kronoberg",1,0,0,0,437000,"mg_4"
304,500,2022,2,180,"vit","östergötland",0,0,0,1,399900,"mg_r"
305,500,2022,2,177,"grå","blekinge",0,1,0,0,344500,"mg_5"
306,950,2022,2,204,"svart","södermanland",1,0,0,0,339800,"mg_4"
307,950,2022,2,157,"vit","södermanland",0,0,0,1,334800,"mg_zs"
308,2500,2022,2,157,"svart","kalmar",0,1,0,0,339900,"mg_5"
309,950,2022,2,157,"vit","södermanland",0,0,0,1,334800,"mg_zs"
310,900,2022,2,157,"röd","östergötland",0,1,0,0,289900,"mg_5"
311,4331,2021,2,191,"vit","stockholm",0,0,0,1,408900,"mb_eqa"
312,7695,2020,4,408,"grå","stockholm",0,0,0,1,473900,"mb_eqc"
313,6531,2021,2,191,"vit","stockholm",0,0,0,1,434900,"mb_eqa"
314,1280,2022,4,229,"mörkgrå","stockholm",0,0,0,1,474900,"mb_eqa"
315,4919,2020,4,408,"röd","stockholm",0,0,0,1,494900,"mb_eqc"
316,1650,2022,4,229,"röd","kalmar",0,0,0,1,549900,"mb_eqb"
317,2100,2021,4,408,"grå","stockholm",0,0,0,1,548900,"mb_eqc"
318,3900,2023,2,293,"svart","kalmar",0,0,1,0,659000,"mb_eqe"
319,7629,2022,2,191,"mörkgrå","stockholm",0,0,0,1,434900,"mb_eqa"
320,1320,2023,2,245,"grå","kalmar",0,0,1,0,659000,"mb_eqe"
321,840,2022,2,301,"svart","södermanland",0,0,0,1,499000,"ford_mustang"
