"X","Miltal","Modellår","Hästkrafter","Län","Biltyp_halvkombi","Biltyp_kombi","Biltyp_sedan","Biltyp_suv","Drivning_2","Drivning_4","Färg_blå","Färg_brun","Färg_grå","Färg_grön","Färg_gul","Färg_ljusgrå","Färg_ljusgrön","Färg_mörkblå","Färg_mörkgrå","Färg_mörkgrön","Färg_orange","Färg_röd","Färg_silver","Färg_svart","Färg_vit","Pris..Y.","Märkell"
154,4431,2021,170,"stockholm",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,324900,"volkswagen_id.4"
155,4979,2021,204,"stockholm",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390900,"volkswagen_id.4"
156,2967,2022,300,"stockholm",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,458900,"volkswagen_id.5"
157,4878,2018,136,"stockholm",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,189900,"volkswagen_e-golf"
158,2969,2021,170,"stockholm",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,339900,"volkswagen_id.4"
159,5659,2021,204,"stockholm",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368900,"volkswagen_id.4"
160,4388,2020,136,"stockholm",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,211900,"volkswagen_e-golf"
161,2226,2020,83,"västra götaland",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,140000,"volkswagen_e-up!"
162,1700,2020,83,"blekinge",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,189900,"volkswagen_e-up!"
163,2008,2020,83,"blekinge",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,179900,"volkswagen_e-up!"
164,6231,2021,204,"stockholm",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,407900,"volkswagen_id.4"
165,5800,2018,136,"västmanland",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,209900,"volkswagen_e-golf"
166,8200,2014,82,"stockholm",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,119900,"volkswagen_e-up!"
167,6200,2017,82,"blekinge",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,139000,"volkswagen_e-up!"
168,11865,2019,136,"norrbotten",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,199900,"volkswagen_e-golf"
169,5211,2018,136,"västra götaland",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,179800,"volkswagen_e-golf"
170,6624,2019,136,"västra götaland",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,184800,"volkswagen_e-golf"
171,5329,2018,136,"västra götaland",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,189900,"volkswagen_e-golf"
172,4491,2022,204,"stockholm",0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,449900,"volkswagen_id.4"
173,2923,2020,136,"västerbotten",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,239000,"volkswagen_e-golf"
174,4315,2020,83,"dalarna",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,169900,"volkswagen_e-up!"
175,9082,2021,204,"västmanland",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,239000,"volkswagen_id.3"
176,10135,2021,204,"värmland",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329500,"volkswagen_id.4"
